id,nombre
70,2
41,4
72,2
92,8
73,1
74,1
76,10
40,4
50,5
44,2
69,1
61,2
47,8
19,7
65,3
89,8
32,6
30,4
25,5
90,8
20,10
32,3
80,10
63,6
98,7
40,3
72,5
57,7
5,10
36,2
41,3
84,10
97,8
35,6
36,9
18,8
39,1
54,4
8,8
66,3
78,6
81,6
60,5
8,3
87,8
83,7
16,9
66,3
96,3
47,7
33,2
42,7
41,7
6,9
31,7
98,8
17,4
14,3
76,6
33,7
91,8
47,7
35,7
37,2
71,7
8,9
52,2
38,10
5,10
19,3
15,3
30,6
9,6
32,8
25,1
30,7
9,3
7,1
74,5
49,6
84,3
49,3
55,7
65,9
94,1
13,10
52,8
13,6
42,3
83,9
99,3
58,2
38,4
99,5
72,2
40,5
10,6
13,5
97,5
39,5
84,1
47,8
66,7
37,1
47,6
66,2
56,1
12,10
50,6
69,3
22,9
31,1
69,6
23,6
24,2
57,7
63,4
74,7
77,6
41,7
32,5
87,8
38,8
25,7
57,1
83,8
50,10
72,4
32,9
99,4
2,4
10,5
98,7
70,9
66,8
82,7
90,2
82,1
40,1
91,5
43,2
54,4
65,7
54,3
84,10
24,7
71,9
22,3
10,1
71,6
67,5
19,2
82,1
17,1
68,10
74,4
73,5
26,5
8,10
72,4
46,5
13,8
3,4
40,5
37,3
14,4
47,6
10,7
14,3
30,5
79,6
8,4
2,4
86,1
20,7
94,7
87,7
5,8
95,6
92,1
78,6
10,8
16,8
8,4
11,4
24,2
69,8
19,8
75,9
84,5
35,8
15,7
65,5
37,1
14,8
98,6
20,9
16,4
29,1
59,4
70,5
0,8
47,1
1,1
58,1
93,3
20,5
59,5
13,4
64,1
39,4
16,3
4,5
38,7
14,5
19,10
20,4
57,8
6,5
12,7
0,10
36,3
96,10
14,4
44,6
76,6
99,9
93,5
83,4
35,10
65,6
28,1
88,6
60,6
92,3
81,2
7,8
73,5
84,10
17,1
78,2
6,8
19,6
96,7
90,9
31,2
59,8
22,6
73,6
86,6
39,6
55,1
98,9
25,2
4,10
18,8
44,6
16,9
55,3
35,7
6,10
7,2
98,1
20,5
49,9
96,2
4,10
8,3
91,8
9,4
78,6
25,3
73,4
8,7
59,9
91,3
31,4
55,8
14,7
94,2
98,9
37,6
8,4
38,5
33,7
82,3
20,4
24,4
80,2
66,2
38,3
94,9
70,5
99,5
27,9
81,5
1,10
24,3
28,4
84,6
14,1
31,8
22,9
71,7
52,10
14,3
60,3
53,2
94,2
44,1
84,3
7,7
60,9
44,2
78,8
72,7
31,9
26,8
76,1
0,4
50,10
12,4
44,1
40,9
50,10
19,7
29,3
89,4
82,1
94,2
47,4
79,2
15,3
77,10
79,6
65,8
75,7
63,7
42,3
56,8
37,10
65,6
56,9
96,5
48,3
18,9
45,10
64,10
65,9
90,5
71,6
26,3
6,3
25,6
31,8
22,3
54,8
15,9
12,8
66,5
75,2
76,7
67,2
49,5
10,4
24,3
12,3
41,6
9,3
17,8
44,9
86,9
55,5
52,6
18,4
48,9
4,8
43,7
70,8
2,1
59,6
9,9
90,8
14,8
9,8
85,3
91,5
94,5
66,7
79,6
77,3
0,4
51,1
7,1
6,9
12,9
34,7
69,9
97,4
88,5
26,5
85,8
82,2
84,6
17,5
90,2
26,8
79,8
62,3
39,8
32,10
9,8
83,9
53,2
83,4
80,6
18,3
99,2
27,5
7,7
62,1
33,8
36,1
0,1
1,2
23,9
43,10
49,6
55,5
50,3
83,1
27,2
15,1
65,5
76,6
11,8
51,3
25,6
29,5
16,3
16,4
91,4
67,10
21,10
86,7
54,1
95,4
31,7
45,9
66,5
13,5
78,4
59,2
41,3
80,9
53,3
14,6
55,7
71,4
89,6
14,2
39,4
2,6
10,9
60,6
30,10
78,7
80,7
74,1
81,9
74,10
21,6
45,3
44,10
30,6
27,2
80,6
99,9
31,4
81,10
35,7
54,2
46,4
33,4
89,9
60,2
57,5
43,5
18,7
24,5
35,5
13,1
88,4
72,3
20,1
49,2
99,3
91,8
81,8
38,2
86,5
66,5
65,3
13,5
96,3
84,3
34,9
94,7
89,6
35,9
35,7
8,7
92,6
8,6
74,7
98,10
88,10
24,1
87,9
22,4
30,7
22,6
44,10
94,3
74,10
43,2
2,9
29,8
16,8
23,2
66,1
88,2
52,5
62,10
97,4
8,6
70,4
61,9
30,2
40,4
60,7
30,3
59,4
76,4
22,10
16,8
49,5
36,1
82,5
47,2
67,1
86,10
75,3
89,9
27,10
32,8
2,9
9,10
77,4
74,9
4,2
86,7
66,1
89,9
56,10
0,8
73,7
35,1
34,4
36,10
56,7
41,9
18,6
6,1
65,4
8,9
44,5
76,7
64,1
81,8
17,2
82,3
27,10
60,4
74,3
89,6
94,4
28,7
73,10
97,10
90,9
44,10
67,1
89,7
41,6
86,1
48,1
17,8
31,9
26,2
32,8
53,10
45,7
46,7
84,7
30,6
35,5
42,4
80,9
95,10
72,4
96,3
45,6
28,3
83,1
16,4
5,8
15,10
47,3
83,6
48,3
46,3
59,8
6,3
73,9
96,1
69,5
54,6
82,3
75,8
81,4
94,5
27,6
81,9
34,2
53,7
41,4
13,3
9,4
94,5
30,3
91,9
9,4
48,3
53,9
6,9
16,5
1,3
45,10
18,6
48,6
66,4
50,1
91,7
58,2
29,4
13,9
41,3
40,5
34,7
52,6
72,10
91,8
61,5
67,8
2,4
15,3
38,4
18,9
99,6
33,7
78,5
60,4
24,2
40,2
23,8
8,4
85,9
35,9
60,3
11,1
76,8
66,3
98,5
45,6
90,2
18,7
87,3
61,3
59,3
36,3
15,9
33,6
51,5
51,8
60,10
77,2
93,9
78,10
78,2
44,1
49,2
5,3
47,3
44,5
24,3
66,10
32,7
73,1
40,7
55,1
45,10
83,10
46,4
10,5
1,8
61,8
99,8
8,7
50,1
40,2
91,9
97,9
82,9
99,1
75,5
63,4
12,8
64,4
21,10
4,3
15,4
1,10
70,5
91,1
73,2
52,9
12,1
83,3
42,10
40,1
72,10
42,1
38,5
48,10
85,7
60,7
71,10
19,4
72,9
0,1
91,7
8,4
34,6
74,9
98,7
9,6
13,5
69,9
2,2
85,8
21,8
9,4
30,9
85,2
38,1
75,8
70,6
25,10
68,9
57,8
13,3
18,4
67,2
51,10
99,9
23,2
99,9
35,10
24,6
96,10
30,2
20,2
27,10
6,6
61,9
87,5
79,7
36,4
85,7
88,10
61,1
83,1
13,7
87,4
84,8
38,3
72,9
87,9
50,5
13,2
26,5
98,7
15,3
71,2
70,6
23,7
5,5
97,3
17,1
63,1
16,8
70,3
33,1
7,6
21,2
99,3
76,3
84,8
17,4
65,2
59,7
70,5
93,1
39,6
36,7
71,4
3,10
80,5
25,10
27,7
65,5
31,3
59,6
64,7
17,8
12,8
53,2
62,6
97,5
17,8
4,2
3,9
27,10
17,10
90,1
71,5
7,6
23,7
80,9
5,1
9,6
65,4
82,10
94,10
75,9
47,4
69,1
66,10
13,10
85,2
22,2
23,1
87,5
70,10
33,3
14,10
47,2
96,1
85,5
11,7
23,7
93,4
74,2
3,1
80,7
44,3
69,7
79,8
19,10
19,5
12,4
64,5
18,2
72,10
93,10
23,7
24,4
18,1
64,10
21,4
24,8
30,4
18,5
61,4
21,10
3,10
42,2
89,3
64,2
66,3
84,6
21,8
1,5
78,1
52,8
9,6
88,7
8,8
14,7
45,8
94,1
40,1
79,8
58,1
11,9
76,2
27,5
94,9
57,2
30,8
84,5
35,7
5,7
85,5
98,8
13,3
31,8
51,7
10,7
1,1
46,8
60,7
85,4
42,10
51,2
74,7
72,2
9,7
1,4
6,5
7,2
11,5
76,10
24,4
5,7
41,7
26,4
0,2
23,3
80,5
36,4
30,5
54,9
41,8
95,4
33,9
5,1
20,7
15,8
65,10
1,5
59,6
26,7
4,5
40,5
15,3
30,2
54,4
12,1
46,6
41,4
47,1
25,3
65,10
59,2
38,10
12,3
17,5
20,8
51,7
92,2
7,2
41,8
0,9
27,10
19,5
37,4
47,3
67,4
94,7
80,4
45,3
46,4
68,7
37,2
83,6
44,3
23,9
15,1
